well,light_level,day,cell_count,population_density,dilution,percent_of_stock,ml_of_full_concentration_stock,ml_of_media,ml_of_secondary_stock,which_stock,ml_of_media_1,total_volume_required
B2,100,day2,12,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,100,day4,243,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,33,day2,1479,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,33,day4,1553,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,5,day2,44,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,5,day4,43,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,50,day2,843,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,50,day4,1247,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,70,day2,1294,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,70,day4,1600,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B3,100,day2,1095,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,100,day4,1682,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,33,day2,2896,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,33,day4,2024,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,5,day2,71,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,5,day4,202,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,50,day2,1057,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,50,day4,1363,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,70,day2,1277,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,70,day4,1893,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B4,100,day2,12,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,100,day4,7,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,33,day2,181,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,33,day4,1236,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,5,day2,6,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,5,day4,17,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,50,day2,81,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,50,day4,1333,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,70,day2,48,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,70,day4,466,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B5,100,day2,1381,1,1 in 1,1,15,0,NA,NA,NA,13.2
B5,100,day4,1413,1,1 in 1,1,15,0,NA,NA,NA,13.2
B5,33,day2,3309,1,1 in 1,1,15,0,NA,NA,NA,13.2
B5,33,day4,1894,1,1 in 1,1,15,0,NA,NA,NA,13.2
B5,5,day2,818,1,1 in 1,1,15,0,NA,NA,NA,13.2
B5,5,day4,349,1,1 in 1,1,15,0,NA,NA,NA,13.2
B5,50,day2,1828,1,1 in 1,1,15,0,NA,NA,NA,13.2
B5,50,day4,2352,1,1 in 1,1,15,0,NA,NA,NA,13.2
B5,70,day2,2258,1,1 in 1,1,15,0,NA,NA,NA,13.2
B5,70,day4,1074,1,1 in 1,1,15,0,NA,NA,NA,13.2
B6,100,day2,1050,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
B6,100,day4,1527,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
B6,33,day2,1716,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
B6,33,day4,1426,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
B6,5,day2,313,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
B6,5,day4,287,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
B6,50,day2,1141,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
B6,50,day4,1757,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
B6,70,day2,1880,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
B6,70,day4,1857,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
B7,100,day2,41,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B7,100,day4,1001,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B7,33,day2,615,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B7,33,day4,1335,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B7,5,day2,60,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B7,5,day4,41,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B7,50,day2,660,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B7,50,day4,1039,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B7,70,day2,1125,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B7,70,day4,1150,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
C2,100,day2,956,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
C2,100,day4,1210,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
C2,33,day2,2701,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
C2,33,day4,1592,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
C2,5,day2,408,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
C2,5,day4,335,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
C2,50,day2,1370,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
C2,50,day4,1732,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
C2,70,day2,1761,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
C2,70,day4,2666,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
C3,100,day2,1576,1,1 in 1,1,15,0,NA,NA,NA,13.2
C3,100,day4,1678,1,1 in 1,1,15,0,NA,NA,NA,13.2
C3,33,day2,3580,1,1 in 1,1,15,0,NA,NA,NA,13.2
C3,33,day4,1910,1,1 in 1,1,15,0,NA,NA,NA,13.2
C3,5,day2,913,1,1 in 1,1,15,0,NA,NA,NA,13.2
C3,5,day4,660,1,1 in 1,1,15,0,NA,NA,NA,13.2
C3,50,day2,1783,1,1 in 1,1,15,0,NA,NA,NA,13.2
C3,50,day4,2309,1,1 in 1,1,15,0,NA,NA,NA,13.2
C3,70,day2,2201,1,1 in 1,1,15,0,NA,NA,NA,13.2
C3,70,day4,2599,1,1 in 1,1,15,0,NA,NA,NA,13.2
C4,100,day2,1,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
C4,100,day4,68,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
C4,33,day2,39,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
C4,33,day4,494,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
C4,5,day2,0,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
C4,5,day4,5,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
C4,50,day2,12,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
C4,50,day4,551,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
C4,70,day2,12,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
C4,70,day4,102,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
C5,100,day2,0,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
C5,100,day4,22,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
C5,33,day2,142,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
C5,33,day4,961,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
C5,5,day2,6,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
C5,5,day4,7,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
C5,50,day2,100,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
C5,50,day4,1160,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
C5,70,day2,66,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
C5,70,day4,818,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
C6,100,day2,1670,1,1 in 1,1,15,0,NA,NA,NA,13.2
C6,100,day4,1370,1,1 in 1,1,15,0,NA,NA,NA,13.2
C6,33,day2,2980,1,1 in 1,1,15,0,NA,NA,NA,13.2
C6,33,day4,1724,1,1 in 1,1,15,0,NA,NA,NA,13.2
C6,5,day2,798,1,1 in 1,1,15,0,NA,NA,NA,13.2
C6,5,day4,410,1,1 in 1,1,15,0,NA,NA,NA,13.2
C6,50,day2,1703,1,1 in 1,1,15,0,NA,NA,NA,13.2
C6,50,day4,1785,1,1 in 1,1,15,0,NA,NA,NA,13.2
C6,70,day2,2117,1,1 in 1,1,15,0,NA,NA,NA,13.2
C6,70,day4,2576,1,1 in 1,1,15,0,NA,NA,NA,13.2
C7,100,day2,399,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
C7,100,day4,1386,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
C7,33,day2,678,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
C7,33,day4,1370,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
C7,5,day2,217,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
C7,5,day4,228,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
C7,50,day2,948,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
C7,50,day4,1256,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
C7,70,day2,1633,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
C7,70,day4,1316,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
D2,100,day2,4,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D2,100,day4,20,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D2,33,day2,361,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D2,33,day4,1091,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D2,5,day2,11,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D2,5,day4,26,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D2,50,day2,290,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D2,50,day4,1246,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D2,70,day2,639,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D2,70,day4,1394,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D3,100,day2,1003,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
D3,100,day4,1408,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
D3,33,day2,967.563025210084,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
D3,33,day4,1601,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
D3,5,day2,344,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
D3,5,day4,319,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
D3,50,day2,1226,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
D3,50,day4,1907,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
D3,70,day2,1657,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
D3,70,day4,2470,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2
D4,100,day2,259,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
D4,100,day4,655,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
D4,33,day2,1048,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
D4,33,day4,1556,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
D4,5,day2,229,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
D4,5,day4,232,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
D4,50,day2,1119,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
D4,50,day4,1474,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
D4,70,day2,1439,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
D4,70,day4,3253,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
D5,100,day2,15,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D5,100,day4,30,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D5,33,day2,327,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D5,33,day4,1006,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D5,5,day2,3,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D5,5,day4,24,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D5,50,day2,312,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D5,50,day4,1099,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D5,70,day2,683,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D5,70,day4,1459,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
D6,100,day2,28,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
D6,100,day4,375,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
D6,33,day2,582,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
D6,33,day4,1117,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
D6,5,day2,44,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
D6,5,day4,37,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
D6,50,day2,474,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
D6,50,day4,1197,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
D6,70,day2,1182,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
D6,70,day4,1141,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
D7,100,day2,1,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
D7,100,day4,11,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
D7,33,day2,108,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
D7,33,day4,826,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
D7,5,day2,7,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
D7,5,day4,7,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
D7,50,day2,84,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
D7,50,day4,741,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
D7,70,day2,90,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
D7,70,day4,538,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
E2,100,day2,78,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
E2,100,day4,74,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
E2,33,day2,1254,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
E2,33,day4,1662,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
E2,5,day2,102,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
E2,5,day4,73,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
E2,50,day2,909,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
E2,50,day4,1458,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
E2,70,day2,1265,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
E2,70,day4,1285,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
E3,100,day2,39,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
E3,100,day4,52,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
E3,33,day2,1191,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
E3,33,day4,1391,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
E3,5,day2,210,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
E3,5,day4,78,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
E3,50,day2,712,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
E3,50,day4,1815,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
E3,70,day2,1236,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
E3,70,day4,1769,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
E4,100,day2,0,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E4,100,day4,3,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E4,33,day2,22,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E4,33,day4,677,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E4,5,day2,0,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E4,5,day4,7,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E4,50,day2,19,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E4,50,day4,538,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E4,70,day2,245,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E4,70,day4,279,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E5,100,day2,217,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
E5,100,day4,913,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
E5,33,day2,1028,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
E5,33,day4,1656,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
E5,5,day2,204,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
E5,5,day4,266,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
E5,50,day2,1237,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
E5,50,day4,1492,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
E5,70,day2,1680,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
E5,70,day4,725,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2
E6,100,day2,0,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E6,100,day4,7,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E6,33,day2,45,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E6,33,day4,518,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E6,5,day2,219,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E6,5,day4,9,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E6,50,day2,18,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E6,50,day4,415,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E6,70,day2,30,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E6,70,day4,719,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2
E7,100,day2,9,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
E7,100,day4,41,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
E7,33,day2,302,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
E7,33,day4,962,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
E7,5,day2,19,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
E7,5,day4,26,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
E7,50,day2,198,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
E7,50,day4,1142,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
E7,70,day2,711,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
E7,70,day4,775,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2
