well,RFU,plate,light,date,population_density,dilution,percent_of_stock,ml_of_full_concentration_stock,ml_of_media,ml_of_secondary_stock,which_stock,ml_of_media_1,total_volume_required,light_photons
B2,447,plate1,50,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,350
B3,831,plate1,50,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,350
B4,156,plate1,50,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,350
B5,946,plate1,50,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,350
B6,1070,plate1,50,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,350
B7,767,plate1,50,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,350
C2,1208,plate1,50,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,350
C3,1330,plate1,50,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,350
C4,46,plate1,50,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,350
C5,143,plate1,50,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,350
C6,1192,plate1,50,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,350
C7,1409,plate1,50,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,350
D2,442,plate1,50,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,350
D3,1370,plate1,50,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,350
D4,1320,plate1,50,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,350
D5,274,plate1,50,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,350
D6,605,plate1,50,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,350
D7,267,plate1,50,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,350
E2,1213,plate1,50,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,350
E3,1084,plate1,50,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,350
E4,90,plate1,50,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,350
E5,1339,plate1,50,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,350
E6,96,plate1,50,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,350
E7,404,plate1,50,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,350
B2,310,plate2,33,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,231
B3,590,plate2,33,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,231
B4,452,plate2,33,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,231
B5,848,plate2,33,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,231
B6,954,plate2,33,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,231
B7,824,plate2,33,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,231
C2,987,plate2,33,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,231
C3,863,plate2,33,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,231
C4,111,plate2,33,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,231
C5,520,plate2,33,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,231
C6,1021,plate2,33,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,231
C7,1083,plate2,33,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,231
D2,293,plate2,33,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,231
D3,1057,plate2,33,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,231
D4,1040,plate2,33,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,231
D5,327,plate2,33,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,231
D6,583,plate2,33,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,231
D7,445,plate2,33,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,231
E2,806,plate2,33,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,231
E3,523,plate2,33,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,231
E4,160,plate2,33,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,231
E5,1337,plate2,33,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,231
E6,154,plate2,33,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,231
E7,464,plate2,33,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,231
B2,307,plate3,70,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,489.99999999999994
B3,529,plate3,70,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,489.99999999999994
B4,166,plate3,70,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,489.99999999999994
B5,1049,plate3,70,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,489.99999999999994
B6,901,plate3,70,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,489.99999999999994
B7,789,plate3,70,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,489.99999999999994
C2,1166,plate3,70,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,489.99999999999994
C3,1317,plate3,70,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,489.99999999999994
C4,24,plate3,70,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,489.99999999999994
C5,147,plate3,70,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,489.99999999999994
C6,1117,plate3,70,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,489.99999999999994
C7,982,plate3,70,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,489.99999999999994
D2,254,plate3,70,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,489.99999999999994
D3,1202,plate3,70,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,489.99999999999994
D4,1002,plate3,70,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,489.99999999999994
D5,290,plate3,70,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,489.99999999999994
D6,516,plate3,70,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,489.99999999999994
D7,209,plate3,70,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,489.99999999999994
E2,497,plate3,70,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,489.99999999999994
E3,406,plate3,70,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,489.99999999999994
E4,23,plate3,70,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,489.99999999999994
E5,1235,plate3,70,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,489.99999999999994
E6,46,plate3,70,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,489.99999999999994
E7,289,plate3,70,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,489.99999999999994
B2,3,plate4,100,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,700
B3,5,plate4,100,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,700
B4,3,plate4,100,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,700
B5,388,plate4,100,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,700
B6,241,plate4,100,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,700
B7,17,plate4,100,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,700
C2,356,plate4,100,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,700
C3,364,plate4,100,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,700
C4,4,plate4,100,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,700
C5,4,plate4,100,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,700
C6,487,plate4,100,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,700
C7,103,plate4,100,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,700
D2,1,plate4,100,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,700
D3,351,plate4,100,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,700
D4,17,plate4,100,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,700
D5,4,plate4,100,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,700
D6,6,plate4,100,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,700
D7,6,plate4,100,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,700
E2,3,plate4,100,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,700
E3,4,plate4,100,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,700
E4,1,plate4,100,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,700
E5,26,plate4,100,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,700
E6,3,plate4,100,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,700
E7,5,plate4,100,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,700
B2,198,plate5,5,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,35
B3,421,plate5,5,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,35
B4,17,plate5,5,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,35
B5,2224,plate5,5,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,35
B6,1031,plate5,5,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,35
B7,386,plate5,5,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,35
C2,1564,plate5,5,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,35
C3,2186,plate5,5,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,35
C4,6,plate5,5,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,35
C5,27,plate5,5,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,35
C6,2010,plate5,5,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,35
C7,403,plate5,5,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,35
D2,113,plate5,5,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,35
D3,1465,plate5,5,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,35
D4,552,plate5,5,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,35
D5,112,plate5,5,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,35
D6,160,plate5,5,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,35
D7,32,plate5,5,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,35
E2,465,plate5,5,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,35
E3,139,plate5,5,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,35
E4,7,plate5,5,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,35
E5,719,plate5,5,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,35
E6,6,plate5,5,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,35
E7,105,plate5,5,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,35
B2,614,plate1,50,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,350
B3,565,plate1,50,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,350
B4,596,plate1,50,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,350
B5,1687,plate1,50,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,350
B6,1432,plate1,50,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,350
B7,550,plate1,50,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,350
C2,1193,plate1,50,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,350
C3,2027,plate1,50,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,350
C4,618,plate1,50,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,350
C5,644,plate1,50,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,350
C6,1891,plate1,50,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,350
C7,632,plate1,50,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,350
D2,539,plate1,50,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,350
D3,1325,plate1,50,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,350
D4,809,plate1,50,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,350
D5,617,plate1,50,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,350
D6,1178,plate1,50,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,350
D7,997,plate1,50,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,350
E2,513,plate1,50,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,350
E3,641,plate1,50,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,350
E4,578,plate1,50,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,350
E5,744,plate1,50,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,350
E6,611,plate1,50,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,350
E7,1014,plate1,50,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,350
B2,1218,plate2,33,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,231
B3,1329,plate2,33,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,231
B4,1195,plate2,33,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,231
B5,1833,plate2,33,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,231
B6,715,plate2,33,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,231
B7,1347,plate2,33,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,231
C2,1147,plate2,33,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,231
C3,2387,plate2,33,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,231
C4,836,plate2,33,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,231
C5,1318,plate2,33,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,231
C6,2175,plate2,33,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,231
C7,888,plate2,33,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,231
D2,1393,plate2,33,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,231
D3,1495,plate2,33,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,231
D4,1160,plate2,33,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,231
D5,1404,plate2,33,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,231
D6,1349,plate2,33,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,231
D7,1269,plate2,33,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,231
E2,1197,plate2,33,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,231
E3,1206,plate2,33,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,231
E4,825,plate2,33,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,231
E5,749,plate2,33,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,231
E6,752,plate2,33,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,231
E7,1473,plate2,33,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,231
B2,136,plate3,70,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,489.99999999999994
B3,115,plate3,70,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,489.99999999999994
B4,301,plate3,70,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,489.99999999999994
B5,468,plate3,70,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,489.99999999999994
B6,281,plate3,70,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,489.99999999999994
B7,177,plate3,70,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,489.99999999999994
C2,596,plate3,70,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,489.99999999999994
C3,511,plate3,70,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,489.99999999999994
C4,331,plate3,70,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,489.99999999999994
C5,351,plate3,70,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,489.99999999999994
C6,567,plate3,70,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,489.99999999999994
C7,311,plate3,70,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,489.99999999999994
D2,80,plate3,70,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,489.99999999999994
D3,607,plate3,70,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,489.99999999999994
D4,554,plate3,70,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,489.99999999999994
D5,154,plate3,70,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,489.99999999999994
D6,279,plate3,70,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,489.99999999999994
D7,445,plate3,70,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,489.99999999999994
E2,170,plate3,70,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,489.99999999999994
E3,154,plate3,70,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,489.99999999999994
E4,314,plate3,70,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,489.99999999999994
E5,242,plate3,70,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,489.99999999999994
E6,364,plate3,70,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,489.99999999999994
E7,242,plate3,70,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,489.99999999999994
B2,2,plate4,100,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,700
B3,15,plate4,100,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,700
B4,6,plate4,100,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,700
B5,25,plate4,100,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,700
B6,84,plate4,100,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,700
B7,175,plate4,100,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,700
C2,21,plate4,100,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,700
C3,7,plate4,100,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,700
C4,2,plate4,100,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,700
C5,3,plate4,100,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,700
C6,35,plate4,100,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,700
C7,159,plate4,100,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,700
D2,4,plate4,100,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,700
D3,20,plate4,100,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,700
D4,17,plate4,100,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,700
D5,4,plate4,100,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,700
D6,42,plate4,100,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,700
D7,14,plate4,100,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,700
E2,5,plate4,100,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,700
E3,1,plate4,100,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,700
E4,0,plate4,100,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,700
E5,62,plate4,100,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,700
E6,4,plate4,100,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,700
E7,14,plate4,100,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,700
B2,406,plate5,5,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,35
B3,815,plate5,5,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,35
B4,27,plate5,5,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,35
B5,1567,plate5,5,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,35
B6,1324,plate5,5,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,35
B7,510,plate5,5,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,35
C2,1708,plate5,5,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,35
C3,1624,plate5,5,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,35
C4,7,plate5,5,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,35
C5,35,plate5,5,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,35
C6,1525,plate5,5,2018-08-25,1,1 in 1,1,15,0,NA,NA,NA,13.2,35
C7,985,plate5,5,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,35
D2,199,plate5,5,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,35
D3,1938,plate5,5,2018-08-25,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,35
D4,1764,plate5,5,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,35
D5,96,plate5,5,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,35
D6,205,plate5,5,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,35
D7,106,plate5,5,2018-08-25,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,35
E2,842,plate5,5,2018-08-25,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,35
E3,315,plate5,5,2018-08-25,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,35
E4,12,plate5,5,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,35
E5,1396,plate5,5,2018-08-25,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,35
E6,11,plate5,5,2018-08-25,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,35
E7,152,plate5,5,2018-08-25,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,35
